,imdb_id,runtime,release_date,num_cast,num_directors,num_writers,num_producers,num_productionmanagers,num_stunts,num_productioncompanies,num_distributers,imdb_rating,budget,release_month,genre(s)
17,tt5095030,119,2018-07-04,177,1,8,10,8,145,1,39,7,162000000,7,"['Action', 'Adventure', 'Science Fiction', 'Comedy', 'Family']"
18,tt3104988,121,2018-08-15,66,1,3,14,4,5,3,12,7,30000000,8,"['Comedy', 'Drama', 'Romance']"
19,tt1259528,140,2018-01-18,111,1,2,20,4,72,4,1,7,30000000,1,"['Action', 'Thriller', 'Crime']"
20,tt2704998,101,2018-02-22,65,2,1,10,3,30,6,18,7,37000000,2,"['Mystery', 'Comedy', 'Crime', 'Thriller']"
21,tt4633694,117,2018-12-07,74,3,19,10,275,32,7,29,8,90000000,12,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Comedy']"
22,tt1590193,104,2018-01-11,78,1,3,9,3,42,8,1,6,30000000,1,"['Action', 'Thriller']"
23,tt5052474,123,2018-06-27,106,1,1,11,3,55,3,49,7,35000000,6,"['Action', 'Crime', 'Drama', 'Thriller']"
24,tt7040874,117,2018-08-29,63,1,2,5,5,9,3,22,6,20000000,8,"['Thriller', 'Crime', 'Mystery', 'Comedy', 'Drama']"
25,tt4123430,134,2018-11-14,149,1,1,10,6,61,2,16,6,200000000,11,"['Family', 'Fantasy', 'Adventure']"
26,tt7668870,103,2018-08-24,46,1,2,9,1,13,3,39,7,388769,8,"['Drama', 'Thriller', 'Mystery']"
27,tt1213641,141,2018-10-11,158,1,2,10,7,21,7,23,7,59000000,10,"['History', 'Drama']"
28,tt2873282,140,2018-02-28,79,1,2,10,6,37,5,20,6,69000000,2,"['Mystery', 'Thriller']"
29,tt4912910,148,2018-07-13,96,1,2,10,23,140,8,47,7,178000000,7,"['Action', 'Thriller', 'Adventure']"
30,tt2231461,107,2018-04-12,118,1,4,16,15,144,6,28,6,120000000,4,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']"
31,tt4500922,144,2018-01-10,41,1,2,13,11,48,3,20,6,62000000,1,"['Action', 'Mystery', 'Science Fiction', 'Thriller', 'Adventure', 'Fantasy']"
32,tt5463162,121,2018-05-15,69,1,5,10,8,111,6,21,7,110000000,5,"['Action', 'Comedy', 'Adventure']"
33,tt4779682,113,2018-08-09,39,1,4,18,5,100,5,19,5,130000000,8,"['Action', 'Science Fiction', 'Thriller', 'Horror']"
34,tt6499752,100,2018-06-01,34,1,1,13,1,23,2,7,7,5000000,6,"['Action', 'Thriller', 'Science Fiction', 'Horror']"
35,tt6628394,142,2018-10-04,39,1,1,5,2,39,3,17,7,32000000,10,"['Thriller', 'Crime', 'Mystery', 'Drama']"
36,tt5164432,110,2018-02-16,105,1,3,7,4,47,4,20,7,17000000,2,"['Comedy', 'Drama', 'Romance']"
37,tt2798920,115,2018-02-22,28,1,2,9,2,15,4,6,6,40000000,2,"['Mystery', 'Science Fiction', 'Thriller', 'Horror', 'Adventure']"
38,tt5164214,111,2018-06-07,237,1,4,9,5,55,4,23,6,70000000,6,"['Crime', 'Comedy', 'Action', 'Thriller']"
39,tt2548396,102,2018-02-04,20,1,2,10,5,17,2,1,5,26000000,2,"['Mystery', 'Thriller', 'Horror', 'Science Fiction']"
40,tt3829266,107,2018-09-05,64,1,4,5,4,82,5,20,5,88000000,9,"['Science Fiction', 'Action', 'Thriller', 'Adventure', 'Horror']"
41,tt5758778,102,2018-07-11,64,1,1,10,13,74,4,45,5,125000000,7,['Action']
42,tt1825683,134,2018-02-13,135,1,4,9,15,173,6,41,7,200000000,2,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
43,tt1365519,118,2018-03-05,62,1,5,5,9,71,4,43,6,94000000,3,"['Action', 'Adventure', 'Fantasy']"
44,tt7349662,135,2018-07-30,53,1,5,13,5,7,6,28,7,15000000,7,"['Crime', 'Drama']"
45,tt1413492,130,2018-01-16,76,1,3,18,3,31,5,1,6,15815025,1,"['War', 'Drama', 'History']"
46,tt5688932,105,2018-07-06,85,1,1,16,2,11,5,8,7,727266,7,"['Fantasy', 'Science Fiction', 'Comedy']"
47,tt5246700,113,2018-07-13,44,1,1,13,4,6,2,3,5,20000000,7,"['Science Fiction', 'Thriller', 'Mystery']"
48,tt5610554,96,2018-05-04,34,1,1,20,6,28,4,1,7,3282610,5,"['Comedy', 'Drama']"
49,tt5848272,112,2018-11-20,81,2,6,5,96,58,2,18,7,175000000,11,"['Family', 'Animation', 'Comedy', 'Fantasy']"
50,tt7153766,99,2018-02-21,34,1,2,7,3,5,3,12,6,1500000,2,"['Horror', 'Thriller']"
51,tt6911608,113,2018-07-09,242,1,5,17,7,15,8,16,6,75000000,7,"['Comedy', 'Romance']"
52,tt6212478,117,2018-06-01,85,1,1,23,5,10,3,2,7,134793,6,"['Drama', 'Crime']"
53,tt5397194,100,2018-05-03,53,1,1,14,4,6,3,2,6,20000000,5,"['Science Fiction', 'Thriller']"
54,tt0795421,108,2008-07-02,76,1,1,7,9,21,5,24,6,52000000,7,"['Comedy', 'Romance']"
55,tt7014006,94,2018-01-19,42,1,1,6,3,6,1,4,7,2000000,1,"['Comedy', 'Drama']"
56,tt6343314,130,2018-11-21,254,1,5,11,4,20,4,37,7,50000000,11,"['Drama', 'Action']"
57,tt6133466,97,2018-07-04,101,1,1,10,3,48,3,19,5,13000000,7,"['Action', 'Science Fiction', 'Thriller', 'Horror']"
58,tt6306064,96,2018-05-31,12,1,5,17,25,2,4,19,6,35000000,5,"['Thriller', 'Romance', 'Adventure']"
59,tt1620680,109,2018-03-08,55,1,3,4,11,26,3,15,4,100000000,3,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']"
60,tt5083738,120,2018-11-20,59,1,2,13,10,25,4,9,7,15000000,11,"['Drama', 'History', 'Comedy']"
61,tt6772950,100,2018-04-12,37,1,4,11,3,14,1,15,5,3500000,4,"['Thriller', 'Horror']"
62,tt6663582,117,2018-08-02,56,1,2,16,16,39,5,18,6,40000000,8,"['Action', 'Comedy']"
63,tt4575576,104,2018-08-02,80,1,7,5,4,24,2,10,7,75000000,8,"['Adventure', 'Comedy', 'Family', 'Fantasy']"
64,tt5117670,93,2018-02-07,61,1,3,15,4,22,9,26,6,50000000,2,"['Animation', 'Adventure', 'Family']"
65,tt6921996,89,2018-09-13,85,1,1,7,4,52,4,17,6,25000000,9,"['Adventure', 'Family', 'Action', 'Comedy']"
66,tt6697582,125,2018-01-05,78,1,1,4,15,7,2,8,7,13547689,1,"['Adventure', 'Comedy', 'Science Fiction']"
67,tt6452574,161,2018-06-29,36,1,2,9,5,3,2,2,8,2723349,6,"['Drama', 'Comedy']"
68,tt4701182,114,2018-12-15,105,1,1,12,6,56,8,18,7,135000000,12,"['Action', 'Adventure', 'Science Fiction']"
69,tt5834262,94,2018-06-07,49,1,1,13,2,30,3,1,6,15000000,6,"['Thriller', 'Science Fiction', 'Action']"
70,tt6850820,102,2018-09-06,69,1,1,15,4,37,3,18,6,25000000,9,"['Action', 'Thriller', 'Drama']"
71,tt7431594,160,2018-06-15,50,1,2,13,1,5,4,3,2,1690861,6,"['Thriller', 'Action']"
72,tt8108198,139,2018-10-05,17,1,6,9,8,22,2,2,8,278677,10,"['Thriller', 'Comedy', 'Crime']"
73,tt6966692,130,2018-11-16,100,1,3,11,6,14,5,29,8,23000000,11,"['Drama', 'Comedy']"
74,tt3892172,110,2018-06-29,38,1,3,13,2,4,4,21,7,219140,6,['Drama']
75,tt4560436,95,2018-08-16,67,1,2,24,9,50,5,22,6,50000000,8,"['Action', 'Thriller', 'Adventure', 'Crime']"
76,tt2531344,102,2018-03-14,77,1,2,18,3,31,4,16,6,21000000,3,['Comedy']
77,tt5726086,118,2018-01-03,35,1,1,14,4,14,4,25,5,10000000,1,"['Mystery', 'Horror', 'Thriller']"
78,tt1137450,107,2018-03-02,75,1,3,5,7,44,2,27,6,30000000,3,"['Action', 'Crime', 'Drama', 'Thriller']"
79,tt6998518,122,2018-09-13,20,1,3,16,3,19,6,1,6,6000000,9,"['Action', 'Thriller', 'Horror']"
80,tt5783956,97,2018-02-09,30,1,1,16,1,7,4,1,6,10000000,2,"['Comedy', 'Romance', 'Fantasy']"
81,tt4218572,128,2018-11-06,130,1,3,10,3,29,5,12,7,42000000,11,"['Crime', 'Drama', 'Thriller']"
82,tt6791096,111,2018-04-19,106,2,2,17,2,3,3,20,5,32000000,4,['Comedy']
83,tt5028340,131,2018-12-19,127,1,4,8,7,52,3,18,7,130000000,12,"['Fantasy', 'Family', 'Comedy']"
84,tt2119543,106,2018-09-15,35,1,2,8,8,19,4,1,6,42000000,9,"['Horror', 'Fantasy', 'Thriller', 'Family', 'Mystery']"
85,tt4244998,97,2018-08-17,17,1,2,11,2,27,1,34,6,51000000,8,"['Adventure', 'Drama']"
86,tt4477536,105,2018-01-17,68,1,2,4,8,19,2,22,4,55000000,1,"['Drama', 'Romance']"
87,tt3890160,112,2017-06-28,85,1,1,10,4,114,4,31,7,34000000,6,"['Action', 'Crime']"
88,tt1648190,95,2017-08-03,64,1,5,8,8,71,6,43,5,60000000,8,"['Action', 'Fantasy', 'Science Fiction', 'Western', 'Horror']"
89,tt3501632,130,2017-10-25,117,1,9,8,15,102,3,38,7,180000000,10,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Science Fiction']"
90,tt5519340,117,2017-12-22,96,1,1,10,4,104,3,5,6,90000000,12,"['Action', 'Crime', 'Fantasy']"
91,tt5580036,121,2017-12-08,97,1,1,14,3,12,2,1,7,11000000,12,['Drama']
92,tt5052448,104,2017-02-24,43,1,1,13,4,18,6,28,7,4500000,2,"['Mystery', 'Thriller', 'Horror']"
93,tt0974015,120,2017-11-15,185,1,10,20,15,190,7,24,6,300000000,11,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
94,tt3402236,114,2017-11-03,103,1,2,14,7,45,7,24,6,55000000,11,"['Crime', 'Drama', 'Mystery']"
95,tt2380307,105,2017-10-27,23,2,4,3,111,123,2,25,8,175000000,10,"['Animation', 'Family', 'Comedy', 'Adventure', 'Fantasy']"
96,tt1856101,163,2017-10-04,38,1,3,16,19,65,8,1,8,150000000,10,"['Science Fiction', 'Thriller']"
97,tt4425200,122,2017-02-08,86,1,1,13,14,113,5,1,7,40000000,2,"['Thriller', 'Action', 'Crime']"
98,tt1485796,105,2017-12-20,151,1,2,8,6,62,3,21,7,84000000,12,['Drama']
99,tt3521126,104,2017-03-12,123,1,4,22,6,1,6,19,7,10000000,3,"['Comedy', 'Drama']"
100,tt5439796,119,2017-08-17,164,1,1,9,4,25,2,1,7,29000000,8,"['Action', 'Comedy', 'Crime', 'Drama']"
101,tt1396484,135,2017-09-06,49,1,4,13,3,42,5,27,7,35000000,9,"['Horror', 'Thriller']"
102,tt2316204,122,2017-05-09,26,1,6,8,6,45,4,21,6,97000000,5,"['Horror', 'Science Fiction', 'Thriller']"
103,tt4649466,141,2017-09-20,133,1,4,11,6,118,4,25,6,104000000,9,"['Action', 'Adventure']"
104,tt4925292,94,2017-09-08,72,1,1,6,8,10,4,2,7,10000000,9,"['Comedy', 'Drama']"
105,tt2543472,113,2017-11-13,70,1,4,12,8,10,4,27,8,20000000,11,"['Drama', 'Family']"
106,tt2250912,133,2017-07-05,137,1,10,12,8,154,3,42,7,175000000,7,"['Action', 'Adventure', 'Science Fiction', 'Drama']"
107,tt2239822,136,2017-07-20,117,1,3,8,17,33,11,39,6,177200000,7,"['Adventure', 'Science Fiction', 'Action']"
108,tt5580390,123,2017-12-01,49,1,2,6,2,24,4,22,7,19400000,12,"['Drama', 'Fantasy', 'Romance']"
109,tt1469304,116,2017-05-12,149,1,9,18,6,63,9,36,5,69000000,5,"['Action', 'Comedy']"
110,tt3450958,140,2017-07-11,50,1,5,8,8,97,3,22,7,150000000,7,"['Drama', 'Science Fiction', 'War']"
111,tt6294822,116,2017-12-22,179,1,2,11,8,42,5,44,7,50000000,12,"['Drama', 'History']"
112,tt4555426,125,2017-11-22,110,1,1,9,3,9,2,25,7,30000000,11,"['Drama', 'History']"
113,tt3371366,149,2017-06-16,174,1,4,14,14,156,6,37,5,217000000,6,"['Action', 'Science Fiction', 'Thriller', 'Adventure']"
114,tt5109784,121,2017-09-13,72,1,1,7,10,34,2,42,6,30000000,9,"['Drama', 'Horror', 'Mystery']"
115,tt2771200,129,2017-03-16,162,1,5,10,7,24,2,45,7,160000000,3,"['Family', 'Fantasy', 'Romance']"
116,tt1790809,129,2017-05-23,156,2,5,7,13,163,3,27,6,230000000,5,"['Adventure', 'Action', 'Fantasy', 'Comedy']"
117,tt0451279,141,2017-05-30,162,1,5,13,24,182,7,29,7,149000000,5,"['Action', 'Adventure', 'Fantasy', 'War']"
118,tt5013056,107,2017-07-19,77,1,1,7,11,103,7,26,7,100000000,7,"['Action', 'Drama', 'History', 'Thriller', 'War']"
119,tt1959563,118,2017-08-16,126,1,1,31,8,163,9,1,6,30000000,8,"['Action', 'Comedy']"
120,tt2283362,119,2017-12-09,79,1,8,10,8,64,5,27,7,90000000,12,"['Action', 'Adventure', 'Comedy', 'Fantasy']"
121,tt5027774,115,2017-11-10,42,1,1,9,3,10,3,26,8,15000000,11,"['Crime', 'Drama']"
122,tt5362988,107,2017-08-03,35,1,1,28,3,23,11,2,7,11000000,8,"['Crime', 'Drama', 'Mystery', 'Thriller']"
123,tt2406566,115,2017-07-26,26,1,3,20,6,41,7,1,6,30000000,7,"['Action', 'Mystery', 'Thriller']"
124,tt3315342,137,2017-02-28,110,1,9,9,5,128,6,26,8,97000000,2,"['Action', 'Drama', 'Science Fiction']"
125,tt2345759,110,2017-06-06,79,1,6,8,6,146,6,22,5,125000000,6,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']"
126,tt1219827,107,2017-03-29,59,1,4,12,15,80,10,49,6,110000000,3,"['Action', 'Science Fiction', 'Thriller', 'Drama']"
127,tt5462602,120,2017-06-23,47,1,2,8,3,4,3,2,7,5000000,6,"['Comedy', 'Drama', 'Romance']"
128,tt2527336,152,2017-12-13,118,1,2,16,22,62,7,48,7,220009584,12,"['Fantasy', 'Adventure', 'Science Fiction', 'Action']"
129,tt3532216,115,2017-08-17,151,1,1,32,9,36,6,1,7,50000000,8,"['Thriller', 'Action']"
130,tt4630562,136,2017-04-12,182,1,2,10,11,195,6,31,6,250000000,4,"['Adventure', 'Action', 'Crime', 'Thriller', 'Mystery']"
131,tt1972591,126,2017-05-10,180,1,4,11,12,86,7,22,6,175000000,5,"['Action', 'Drama', 'Fantasy']"
132,tt3896198,137,2017-04-19,83,1,13,9,6,67,2,23,7,200000000,4,"['Action', 'Adventure', 'Comedy', 'Science Fiction']"
133,tt5442430,103,2017-03-22,17,1,2,8,2,28,3,22,6,58000000,3,"['Horror', 'Science Fiction', 'Thriller', 'Drama']"
134,tt3731562,118,2017-03-08,92,1,6,10,18,79,3,28,6,185000000,3,"['Action', 'Adventure', 'Fantasy']"
135,tt2568862,96,2017-04-06,107,1,2,9,5,29,6,18,6,25000000,4,"['Crime', 'Comedy', 'Drama']"
136,tt2226597,109,2017-10-05,21,1,3,8,9,33,2,19,6,35000000,10,"['Romance', 'Adventure', 'Drama']"
137,tt4633690,121,2017-07-13,83,1,1,10,3,21,4,20,7,3440362,7,"['Crime', 'Drama', 'Thriller']"
138,tt5140878,109,2017-08-03,28,1,1,8,1,10,4,21,6,15000000,8,"['Horror', 'Mystery', 'Thriller']"
139,tt4877122,86,2017-07-23,62,1,4,4,128,25,3,43,3,50000000,7,"['Animation', 'Family', 'Comedy']"
140,tt3606752,109,2017-06-15,44,1,8,3,100,70,2,37,6,175000000,6,"['Adventure', 'Animation', 'Comedy', 'Family']"
141,tt1758810,119,2017-10-12,54,1,4,12,12,62,4,20,5,35000000,10,"['Drama', 'Crime', 'Thriller', 'Horror']"
142,tt3922818,121,2017-01-26,92,1,3,23,6,29,3,22,6,30000000,1,"['Romance', 'Adventure', 'Science Fiction', 'Drama']"
143,tt5308322,96,2017-10-12,35,1,1,9,3,15,4,20,6,4800000,10,"['Horror', 'Mystery', 'Thriller']"
144,tt5592248,93,2017-06-23,12,1,4,6,4,2,2,23,6,10500000,6,"['Drama', 'Western']"
145,tt3717490,124,2017-03-23,60,1,9,14,5,59,5,38,6,100000000,3,"['Action', 'Adventure', 'Science Fiction']"
146,tt1961175,112,2017-09-14,96,1,5,11,13,81,5,33,6,33000000,9,"['Action', 'Thriller']"
147,tt5657846,100,2017-11-09,158,1,3,9,3,25,2,45,6,69000000,11,['Comedy']
148,tt5638642,94,2017-10-11,16,1,2,9,4,4,2,7,6,1569665,10,['Horror']
149,tt5649144,111,2017-10-06,46,1,2,11,4,14,4,1,7,2000000,10,['Drama']
150,tt5478478,134,2017-12-22,54,1,2,17,3,20,2,15,7,39000000,12,"['Drama', 'Western', 'History']"
151,tt1293847,107,2017-01-13,107,1,2,11,10,193,7,23,5,85000000,1,"['Action', 'Adventure', 'Crime']"
152,tt5657856,132,2017-09-23,53,1,1,9,1,18,7,2,7,64453,9,"['Action', 'Crime', 'Thriller']"
153,tt1536537,123,2017-08-18,42,1,2,15,4,23,7,16,6,27975429,8,"['Science Fiction', 'Thriller', 'Drama']"
154,tt1981128,109,2017-10-13,170,1,2,9,13,83,6,26,5,120000000,10,"['Action', 'Science Fiction', 'Thriller']"
155,tt1389072,135,2017-12-22,172,1,2,11,10,8,3,37,5,68000000,12,"['Comedy', 'Drama', 'Science Fiction']"
156,tt4209788,140,2017-12-21,102,1,2,16,7,24,5,1,7,2349967,12,"['Crime', 'Drama']"
157,tt4481414,101,2017-04-12,78,1,1,8,3,14,4,1,7,7000000,4,"['Drama', 'Family', 'Comedy']"
158,tt5776858,131,2017-12-25,82,1,1,8,9,22,4,40,7,35000000,12,"['Drama', 'Romance']"
159,tt4846232,101,2017-08-11,87,2,2,8,2,3,2,20,7,125101,8,"['Crime', 'Drama', 'Thriller']"
160,tt4622512,121,2017-09-05,137,2,1,6,2,4,4,17,6,25000000,9,"['Comedy', 'Drama', 'History']"
161,tt3829920,133,2017-09-22,93,1,3,12,5,20,3,44,7,38000000,9,['Drama']
162,tt3967856,122,2017-06-28,118,1,2,17,5,52,3,2,7,50000000,6,"['Adventure', 'Drama', 'Science Fiction', 'Action']"
163,tt5294550,132,2017-12-21,80,1,2,10,12,34,6,37,6,50000000,12,"['Thriller', 'Drama', 'Crime', 'Mystery']"
164,tt5715874,122,2017-10-20,69,1,2,16,3,24,3,18,7,115120,10,"['Drama', 'Thriller', 'Mystery']"
165,tt4287320,110,2017-04-27,75,1,2,14,4,10,6,1,5,18000000,4,"['Drama', 'Thriller', 'Science Fiction']"
166,tt4765284,93,2017-12-20,163,1,3,8,2,47,4,19,5,45000000,12,"['Comedy', 'Music']"
167,tt4995790,151,2017-08-25,56,1,1,12,11,4,14,23,7,74233,8,['Drama']
168,tt4465564,118,2017-02-08,53,1,2,4,4,32,6,19,4,55000000,2,"['Drama', 'Romance']"
169,tt4468740,104,2017-11-09,124,1,4,11,4,17,7,37,7,40000000,11,"['Adventure', 'Comedy', 'Family']"
170,tt1615160,113,2017-09-28,97,1,2,32,3,41,8,30,7,35000000,9,"['Action', 'Thriller', 'Drama']"
171,tt2763304,117,2017-01-27,70,1,2,8,13,46,7,30,7,18000000,1,"['Crime', 'Drama']"
172,tt4695012,91,2017-06-09,10,1,1,8,6,21,2,16,6,5000000,6,"['Horror', 'Thriller', 'Mystery', 'Drama']"
173,tt1753383,100,2017-01-19,60,1,5,7,8,16,6,59,7,22000000,1,"['Comedy', 'Drama', 'Family', 'Fantasy']"
174,tt6265828,93,2017-07-07,71,1,1,5,2,2,3,28,6,100000,7,"['Drama', 'Fantasy', 'Romance']"
175,tt4686844,107,2017-10-20,108,1,6,13,2,13,11,1,7,184805,10,"['Comedy', 'History']"
176,tt3348730,92,2017-10-26,32,2,2,11,2,16,4,23,5,10000000,10,"['Crime', 'Horror', 'Mystery', 'Thriller']"
177,tt5742374,89,2017-11-08,40,1,2,14,4,29,3,1,6,132829,11,"['Drama', 'Thriller', 'Crime']"
178,tt2582782,102,2016-08-12,64,1,1,15,4,28,4,25,7,12000000,8,"['Crime', 'Drama', 'Thriller', 'Western']"
179,tt4160708,89,2016-08-25,19,1,2,14,5,11,6,3,7,9900000,8,"['Crime', 'Horror', 'Thriller']"
180,tt2660888,122,2016-07-07,84,1,6,11,9,79,7,42,7,185000000,7,"['Action', 'Adventure', 'Science Fiction']"
181,tt2094766,115,2016-12-21,81,1,6,16,6,88,11,29,5,125000000,12,"['Action', 'Adventure', 'Science Fiction']"
182,tt4196776,123,2016-07-27,229,1,3,17,16,174,6,40,6,120000000,7,"['Action', 'Thriller']"
183,tt1935859,127,2016-09-28,102,1,2,6,15,69,8,25,6,110000000,9,"['Drama', 'Fantasy', 'Adventure', 'Family']"
184,tt3062096,121,2016-10-13,59,1,2,10,19,69,4,43,6,75000000,10,"['Mystery', 'Thriller', 'Drama']"
185,tt1355644,116,2016-12-21,45,1,1,12,2,16,7,33,7,110000000,12,"['Drama', 'Romance', 'Science Fiction']"
186,tt1289401,116,2016-07-14,210,1,5,12,9,93,7,41,5,144000000,7,"['Action', 'Fantasy', 'Comedy']"
187,tt3040964,106,2016-04-07,28,1,2,7,20,21,4,27,7,175000000,4,"['Adventure', 'Drama', 'Family', 'Fantasy', 'Animation']"
188,tt2119532,140,2016-10-07,112,1,2,35,4,70,5,2,8,40000000,10,"['Drama', 'History', 'War']"
189,tt4846340,127,2016-12-10,126,1,3,12,3,12,4,20,7,25000000,12,"['Drama', 'History']"
190,tt3110958,129,2016-06-02,145,1,4,13,7,73,3,56,6,90000000,6,"['Action', 'Comedy', 'Thriller']"
191,tt1431045,108,2016-02-09,55,1,2,10,5,90,5,34,8,58000000,2,"['Action', 'Adventure', 'Comedy']"
192,tt2543164,116,2016-11-10,74,1,2,14,5,5,4,1,7,47000000,11,"['Thriller', 'Drama', 'Science Fiction', 'Mystery']"
193,tt3748528,133,2016-12-14,155,1,5,11,13,122,5,43,7,200000000,12,"['Action', 'Adventure', 'Science Fiction']"
194,tt1179933,104,2016-03-10,9,1,3,8,4,43,3,36,7,15000000,3,"['Thriller', 'Science Fiction', 'Drama']"
195,tt3553976,119,2016-07-02,51,1,1,9,4,12,2,1,7,93824,7,"['Adventure', 'Comedy', 'Drama']"
196,tt1386697,124,2016-08-03,126,1,2,10,13,194,5,30,6,175000000,8,"['Action', 'Adventure', 'Crime', 'Fantasy', 'Science Fiction']"
197,tt3300542,99,2016-03-02,93,1,5,20,9,157,4,1,5,60000000,3,"['Action', 'Crime', 'Thriller']"
198,tt2948356,109,2016-02-11,75,3,7,4,127,171,2,42,8,150000000,2,"['Animation', 'Adventure', 'Family', 'Comedy']"
199,tt4776998,130,2016-12-02,115,1,2,15,18,54,3,18,6,90000000,12,"['History', 'Romance', 'Drama']"
200,tt2005151,114,2016-08-17,117,1,4,12,9,56,4,15,7,40000000,8,"['Comedy', 'Crime', 'Drama']"
201,tt0918940,109,2016-06-29,169,1,3,12,15,103,9,25,6,180000000,6,"['Action', 'Adventure']"
202,tt1700841,89,2016-07-11,33,2,5,14,2,41,3,1,6,19000000,7,"['Adventure', 'Animation', 'Comedy', 'Fantasy']"
203,tt2975590,151,2016-03-23,354,1,7,16,16,122,6,34,6,250000000,3,"['Action', 'Adventure', 'Fantasy']"
204,tt3498820,147,2016-04-27,192,2,6,14,16,204,6,40,7,250000000,4,"['Adventure', 'Action', 'Science Fiction']"
205,tt4550098,116,2016-11-04,67,1,2,5,3,10,4,3,7,22500000,11,"['Drama', 'Thriller']"
206,tt1628841,120,2016-06-22,186,1,6,11,8,73,6,28,5,165000000,6,"['Action', 'Adventure', 'Science Fiction']"
207,tt3263904,96,2016-09-07,120,1,3,9,4,50,8,27,7,60000000,9,"['Drama', 'History']"
208,tt4972582,117,2017-01-19,65,1,1,8,4,7,5,27,7,9000000,1,"['Horror', 'Thriller']"
209,tt3799694,116,2016-05-15,115,1,2,11,3,49,6,1,7,50000000,5,"['Action', 'Comedy', 'Crime', 'Mystery']"
210,tt2140479,128,2016-10-14,101,1,1,6,4,57,5,25,7,44000000,10,"['Crime', 'Thriller', 'Drama']"
211,tt3065204,134,2016-05-13,55,1,4,8,5,21,5,21,7,40000000,5,"['Horror', 'Mystery', 'Thriller']"
212,tt2674426,110,2016-06-02,51,1,1,7,10,5,3,20,7,20000000,6,"['Drama', 'Romance']"
213,tt3741834,118,2016-11-24,43,1,2,14,15,7,5,1,8,12000000,11,['Drama']
214,tt2404435,132,2016-09-14,115,1,5,7,8,95,8,47,6,90000000,9,"['Adventure', 'Action', 'Western']"
215,tt1860357,107,2016-09-29,125,1,5,15,8,46,6,32,7,110000000,9,"['Drama', 'Action']"
216,tt4975722,111,2016-10-21,26,1,2,10,2,23,3,26,7,4000000,10,['Drama']
217,tt3783958,129,2016-11-29,213,1,1,16,9,35,6,55,8,30000000,11,"['Comedy', 'Drama', 'Romance']"
218,tt0803096,123,2016-05-25,54,1,2,17,15,49,10,28,6,160000000,5,"['Action', 'Adventure', 'Fantasy']"
219,tt1489889,107,2016-06-15,160,1,3,13,1,66,6,24,6,50000000,6,"['Action', 'Comedy', 'Mystery']"
220,tt1211837,115,2016-10-25,75,1,5,7,16,137,2,45,7,165000000,10,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']"
221,tt3183660,133,2016-11-16,189,1,1,8,8,88,2,25,7,180000000,11,"['Adventure', 'Family', 'Fantasy']"
